robot_model,movement,cartesian_path,reference_frame,is_relative,velocity,acceleration,desired_x,desired_y,desired_z,desired_roll,desired_pitch,desired_yaw,measured_x,measured_y,measured_z,measured_roll,measured_pitch,measured_yaw
vs060,move_joints,,,False,100,100,,,,,,,0.3004235342164447,-2.6280395299172165e-05,0.39025615282183534,-3.1415854697810226,0.0016897498375285844,3.141457689943607
vs060,move_to_pose,True,WORLD,False,100,100,0.2581,0.136,0.305,3.141592653589793,0,-1.5707963267948966,0.2581034232311773,0.13604671012155317,0.30502055630467007,-3.1415252536836658,-2.9880309340033466e-05,-1.5708344702645745
vs060,move_to_pose,True,WORLD,True,100,100,0.2581034232311784,0.13604671012155375,0.00502055630467052,-3.141525253683663,-2.9880309338649116e-05,-1.5708344702645753,0.2581458081304411,0.1360684383034831,0.00509193475003436,3.1413788252391877,-0.00017278036655354455,-1.5708339103944031
vs060,move_to_pose,True,WORLD,True,100,100,0.2581457037730418,0.13606838220674217,0.30509205143223705,3.1413787639575754,-0.00017281471504200665,-1.5708339104691664,0.2580332513356482,0.13600910675149686,0.3049840003802139,3.1415006042921862,-0.0001086041095530535,-1.570833926333733
vs060,move_approach,True,WORLD,False,100,100,0.4877,0.08630000000000002,0.24149999999999996,-3.141592653589793,0.0,-2.478367537831948,0.48758340454637256,0.08627875241483784,0.24147041245779424,-3.1414698745387324,0.00023269479311092793,-2.4783678013334707
vs060,move_to_pose,True,TOOL,True,100,100,0.4876131845254736,0.08628410105755906,0.12647041643803428,-3.1414698745387337,0.0002326947931085976,-2.4783678013334707,0.4877560516218333,0.08630937661939442,0.1264824069027368,3.141592607876236,1.3210202606749334e-06,-2.4783678155729882
vs060,move_to_pose,True,TOOL,True,100,100,0.48775602359559744,0.08630930068585267,0.24148221391242308,3.1415926078352387,1.392533389698363e-06,-2.4783678155836424,0.48769762960475477,0.08629896616679134,0.24144797782158664,-3.141585925301182,1.41207348946534e-05,-2.4783678155362456
vs060,move_approach,True,WORLD,False,100,100,0.362547014212016,-0.014610796296998518,0.16104822155938076,3.1276300195738385,0.8918632477691022,-2.478367537831948,0.3626779247272382,-0.014764196803937008,0.16129856671903559,3.1277191198574936,0.8919709158727692,-2.478280319476382
vs060,move_to_pose,True,TOOL,True,100,100,0.4322155323556156,0.041598955082626926,0.08909932921477887,3.127719079815323,0.8919709058689216,-2.4782803213950766,0.4323688828499375,0.04141280973631872,0.08928311459022362,3.1269337827359722,0.8916530755185016,-2.4783639104965083
vs060,move_to_pose,True,TOOL,True,100,100,0.3629010951998801,-0.015000982528630788,0.1615099137806461,3.126933782735972,0.8916530755185013,-2.478363910496509,0.3628715853808707,-0.014931735079038097,0.1614018037404433,3.127034248869759,0.891736625531217,-2.478380124895365
vs060,move_to_pose,True,WORLD,False,100,100,0.2618,-0.1192,0.31,3.141592653589793,0,-1.5707963267948966,0.2617106856761257,-0.11922819987098005,0.30993555901852843,-3.1415417817974363,7.470043330394784e-05,-1.5707567878997202
vs060,move_to_pose,True,WORLD,True,100,100,0.261710670205206,-0.11922817249966233,0.009935467967689238,-3.141541718696406,7.47462363102197e-05,-1.5707567878619824,0.2617629886244015,-0.11925111083950399,0.010083360593887536,3.141238439659113,0.00025115419126184617,-1.5707576726206
vs060,move_to_pose,True,WORLD,True,100,100,0.26176289055544466,-0.11925107045092806,0.31008348665952046,3.14123841342789,0.0002511579055275233,-1.5707576723308783,0.26169585428658493,-0.11922051689736242,0.31001865753585445,3.1413172176268827,0.00021530898444299974,-1.5707576518053799
